Filename-->;fres200_1.4s_15deg.RAW8;fres200_1.4s_15deg_dark.RAW8;fres200_5ms_0deg.RAW8;fres200_5ms_0deg_dark.RAW8;IL200_4.5ms_15deg.RAW8;IL200_4.5ms_15deg_dark.RAW8;IL200_5.1ms_0deg.RAW8;IL200_5.1ms_0deg_dark.RAW8;water200_1.6s_15deg.RAW8;water200_1.6s_15deg_dark.RAW8;water200_73ms_0deg.RAW8;water200_73ms_0deg_dark.RAW8
Mode/Unit-->;;;;;;;;;;;;
Int.time[ms]-->;1357,346436;1357,346436;5,054951668;5,054951668;4,513449192;4,513449192;5,143992424;5,143992424;1565,496338;1565,496338;73,29917145;73,29917145
NrOfAverages-->;1;1;99;99;100;100;97;97;1;1;7;7
Smoothing-->;0;0;0;0;0;0;0;0;0;0;0;0
Wavelength [nm];fresnel 200 mu 1.4 s 15 deg;fresnel 200 mu 1.4 s 15 deg dark;fresnel 200 mu 5 ms 0 deg ;fresnel 200 mu 5 ms 0 deg dark;200 mu 4.5 ms 15 deg IL;200 mu 4.5 ms 15 deg IL dark;200 mu 5.1 ms 0 deg IL;200 mu 5.1 ms 0 deg IL dark;200 mu 1.6 s 15 deg water ;200 mu 1.6 s 15 deg water dark;200 mu 73 ms 0 deg water ;200 mu 73 ms 0 deg water dark
163,309;4243,775879;4182,164063;53,15621185;28,76479149;85,65042877;28,03912354;86,0284729;28,69059563;4930,97998;4891,371582;234,5789642;177,0074921
163,874;4063,595215;3972,317871;65,16324615;34,69931793;99,84247589;35,21377563;99,88869476;34,78802872;4758,24707;4659,193848;244,0817108;198,5074158
164,438;4837,769531;4813,586426;73,24827576;40,12563324;109,7345581;40,39561844;109,1296844;40,29502487;5680,995117;5531,331543;286,3063965;248,0505219
165,002;4525,718262;4471,72998;68,74755096;38,21613312;106,0728531;37,85525513;105,9156723;38,01631546;5312,830566;5217,500977;264,8042297;230,7703705
165,566;4365,890137;4311,604492;65,58168793;37,05487442;100,5084686;36,67557144;102,6664124;36,47023773;5162,101074;5019,353027;256,3718872;216,7655182
166,131;4208,97168;4092,465332;67,21627045;37,00476074;102,6261444;36,99592209;104,4115067;37,46028137;4908,291992;4822,188477;248,6403961;216,331543
166,695;4577,517578;4571,00293;62,23026276;34,50828934;98,34001923;34,65456772;96,96524048;34,83005905;5539,416016;5415,822754;262,487793;227,9237976
167,259;4249,408203;4173,440918;60,2924881;32,55755234;94,62387085;31,22346306;94,13529968;32,78771973;4988,963379;4896,339355;239,9165802;200,369339
167,823;4025,122314;3961,397705;56,87945175;30,91121101;90,04708099;29,92357254;90,28068542;31,10741615;4729,711426;4615,288086;233,4217682;188,6533661
168,388;4253,794922;4156,893555;62,4823761;33,61971283;95,12654877;33,15484238;93,88920593;32,83033752;5007,779297;4875,693359;247,0948639;208,2052612
