Filename-->;fres400_280ms_15deg.RAW8;fres400_280ms_15deg_dark.RAW8;fres400_6ms.RAW8;fres400_6ms_dark.RAW8;IL400_5.5ms_15deg.RAW8;IL400_5.5ms_15deg_dark.RAW8;IL400_6ms.RAW8;IL400_6ms_dark.RAW8;water400_107ms.RAW8;water400_107ms_dark.RAW8;water400_2s_15deg.RAW8;water400_2s_15deg_dark.RAW8
Mode/Unit-->;;;;;;;;;;;;
Int.time[ms]-->;280,3145447;280,3145447;6,476144314;6,476144314;5,549795628;5,549795628;6,034845829;6,034845829;107,0538025;107,0538025;2024,007935;2024,007935
NrOfAverages-->;2;2;77;77;90;90;83;83;5;5;1;1
Smoothing-->;0;0;0;0;0;0;0;0;0;0;0;0
Wavelength [nm];400 mu 280 ms 15 deg fresnel;400 mu 280 ms 15 deg fresnel dark;fresnel reflectie 400 micron fiber onder 0 graden. 6 ms licht;400 mu 6ms dark;400 mu 5.5ms 15deg IL;400mu 5.5ms 15deg IL dark;400 mu 6 ms IL;400 mu 6 ms IL dark;400 mu flat 107 ms water;400 mu 107 ms water dark;400 mu 2s 15deg water;400 mu 2s 15deg water
147,497;1455,832764;1382,726196;137,043808;51,36530304;152,4171753;47,00941849;159,8113861;52,88824463;598,4480591;507,3710022;9908,06543;9921,65625
148,062;1382,069824;1315,720215;135,99086;49,74195099;148,4982605;45,05387878;156,0161896;49,29790497;588,5734253;493,5690308;9477,878906;9390,612305
148,627;1450,78186;1336,03186;114,4457169;35,46804428;128,4601593;34,36420059;133,3881683;35,54973984;566,8936768;470,0717163;9908,597656;9845,946289
149,192;1460,121704;1344,403198;108,878685;31,3776207;121,4702148;28,76452637;128,6715088;31,53817749;558,3825073;479,0293274;9988,585938;9968,982422
149,757;1416,838135;1326,794556;118,3799362;35,53387833;132,6617889;33,49813461;140,5652924;36,40605927;555,7867432;468,5935059;9759,195313;9620,167969
150,322;1376,059937;1291,754028;123,4121246;40,88467789;139,1535492;38,27601242;146,1286774;41,2495842;546,9296875;467,1802063;9446,93457;9232,865234
150,887;1353,953491;1241,490234;104,0231552;29,24742126;117,6726456;28,15319443;124,6285248;30,40531731;537,3843384;427,2580261;9309,301758;9138,634766
151,452;1348,055542;1254,356201;109,8708115;32,89727783;126,3089752;31,72019958;132,067337;33,74317551;532,824646;451,6138611;9345,121094;9218,630859
152,017;1370,75769;1287,724487;118,6409302;40,88479233;135,0816193;38,6316452;138,2846985;40,70752716;546,3696289;468,970459;9394,011719;9262,643555
152,582;1277,94812;1215,421997;105,7130051;30,70222473;121,0280304;28,93114471;124,1276245;32,35738373;516,4456177;420,4355164;8902,171875;8819,123047
153,146;1383,787231;1318,44104;103,8590622;30,29955673;118,7417908;28,60887527;121,4024506;29,77899742;555,3218384;453,0418091;9662,766602;9588,265625
153,711;1333,536743;1269,276245;114,5327377;37,96251678;129,7491608;36,24262619;134,8068237;37,70733261;535,9497681;457,5875244;9296,626953;9275,032227
154,276;1326,854248;1236,340332;105,8421783;33,04019547;119,2882004;33,00912857;123,834404;33,33359528;520,2922974;444,6086121;9162,624023;9111,511719
154,841;1282,286255;1164,77063;113,5577545;36,31319046;125,5528488;36,83152771;130,7821503;36,34590912;503,8882141;425,3856506;8714,450195;8706,989258
155,405;1243,778198;1140,168091;110,5665436;37,84604263;129,1748047;38,88734055;130,5548859;38,17761993;498,5802002;422,151886;8482,254883;8392,22168
155,970;1282,777344;1181,656738;114,1880035;41,89803696;131,2266235;42,04292679;134,9031219;41,44272614;505,8570862;438,5481262;8655,899414;8539,136719
156,535;1200,236206;1118,769409;114,0121078;39,63786697;127,1846848;39,84263992;130,3748016;38,16518784;489,4359131;401,98526;8136,414063;8137,980469
