Filename-->;fres200_410ms_15deg.RAW8;fres200_410ms_15deg_dark.RAW8;fres400_85_15deg.RAW8;fres400_85_15deg_dark.RAW8;IL200_4.7ms_15deg.RAW8;IL200_4.7ms_15deg_dark.RAW8;IL400_6.1ms_15deg.RAW8;IL400_6.1ms_15deg_dark.RAW8;water200_1.5s_15deg.RAW8;water200_1.5s_15deg_dark.RAW8;water400_259ms_15deg.RAW8;water400_259ms_15deg_dark.RAW8
Mode/Unit-->;;;;;;;;;;;;
Int.time[ms]-->;410,5248718;410,5248718;85,19192505;85,19192505;4,720886707;4,720886707;6,129270077;6,129270077;1491,4823;1491,4823;259,3998413;259,3998413
NrOfAverages-->;1;1;6;6;100;100;82;82;1;1;2;2
Smoothing-->;0;0;0;0;0;0;0;0;0;0;0;0
Wavelength [nm];200 mu 410 ms 15 deg air;200 mu 410 ms 15 deg air dark;400 mu 85 ms 15 deg air;400 mu 85 ms 15 deg air dark;200 mu 4.7 ms 15 deg IL;200 mu 4.7 ms 15 deg IL dark;400 mu 6.1 ms 15 deg IL;400 mu 6.1 ms 15 deg IL dark;200 mu 1.5 s 15 deg water;200 mu 1.5 s 15 deg water dark;400 mu 259 ms 15 deg water;400 mu 259 ms 15 deg water dark
163,309;988,4431152;890,0856323;256,4956665;152,9737549;73,99087524;28,03951836;85,79138947;29,22206116;3649,95459;3487,588623;731,4638062;624,6207886
163,874;951,3793945;893,706604;258,9175415;180,4092255;90,61515045;32,16649628;102,7923355;34,08095169;3487,51709;3390,081543;712,1035767;651,3422852
164,438;1148,223145;1063,556396;299,1362915;226,7169952;100,3130341;36,02925873;112,6999207;39,93668365;4092,986084;4031,484619;845,5278931;785,7319946
165,002;1071,629883;990,5859375;275,9963074;211,2220306;95,719841;34,74871445;107,8543243;37,32651901;3823,876709;3784,602051;799,9187622;730,2536621
165,566;1038,401733;944,5601807;270,8513184;206,8843079;92,56929779;32,8291893;104,0406647;35,58297348;3689,099121;3629,499512;765,2045288;720,2347412
166,131;1003,039734;928,5316162;268,711731;199,3794403;95,13905334;33,35971451;107,7732697;36,44921875;3527,236816;3486,385986;746,8578491;680,2137451
166,695;1094,298096;983,6419067;279,541626;213,8982239;87,48213959;31,26768494;101,5028992;33,86233139;3919,566162;3865,824707;826,5569458;761,2947998
167,259;1017,585144;896,7318726;257,5356445;177,2468719;83,37241364;29,73602867;97,02224731;32,04401779;3543,280518;3499,182129;739,7957153;681,8609009
167,823;970,1608887;872,7229614;242,3582916;170,2453613;79,82004547;28,41619301;91,93096924;29,36121368;3394,011963;3303,146729;703,8762207;629,8543701
168,388;1007,226318;902,6194458;258,4181213;187,5610657;85,36456299;30,66809845;97,62915039;33,16751862;3545,887451;3514,735107;726,9972534;667,7782593
